design,source,epochs,batch_size,train_steps,initial_loss,final_loss,loss_delta,loss_decreased,training_compare,native_accumulated_optimizer,eval_only_loss_mode,software_reference_match,status,notes
"dense_weight_grad_typed<676, 10, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
emit_stream_block<40>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
emit_stream_block<6770>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"exp_approx_neg_scalar_typed<ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
f32_to_u32,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_0,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_1,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_2,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_3,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_4,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
